2025-09-13 17:40:42 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Diana'}
2025-09-13 17:40:43 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Alice'}
2025-09-13 17:40:44 | INFO | Sent message to topic 'buzzline_json': {'message': 'Streaming data is fun.', 'author': 'Charlie'}
2025-09-13 17:40:45 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Alice'}
2025-09-13 17:40:46 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Diana'}
2025-09-13 17:40:47 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Alice'}
2025-09-13 17:40:48 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Bob'}
2025-09-13 17:40:49 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Bob'}
2025-09-13 17:40:49 | WARNING | Producer interrupted by user.
2025-09-13 17:40:49 | INFO | Kafka producer closed.
2025-09-13 17:40:49 | INFO | END producer.
2025-09-13 17:52:30 | INFO | Logging to file: logs/project_log.log
2025-09-13 17:52:30 | INFO | Log sanitization enabled, personal info removed
2025-09-13 17:52:30 | INFO | Project root: C:/Users/USER/Documents/datastream-01/buzzline-03-hanson
2025-09-13 17:52:30 | INFO | Data folder: C:/Users/USER/Documents/datastream-01/buzzline-03-hanson/data
2025-09-13 17:52:30 | INFO | Data file: C:/Users/USER/Documents/datastream-01/buzzline-03-hanson/data/buzz.json
2025-09-13 17:52:30 | INFO | START producer.
2025-09-13 17:52:30 | INFO | Kafka broker address: localhost:9092
2025-09-13 17:52:31 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'HgK16oaASYSw0OdYOPF66A', 'controller_id': 1}
2025-09-13 17:52:31 | INFO | Kafka topic: buzzline_json
2025-09-13 17:52:31 | INFO | Message interval: 1 seconds
2025-09-13 17:52:31 | INFO | Kafka broker address: localhost:9092
2025-09-13 17:52:31 | INFO | Connecting to Kafka broker at localhost:9092...
2025-09-13 17:52:31 | INFO | Kafka producer successfully created.
2025-09-13 17:52:31 | INFO | Kafka broker address: localhost:9092
2025-09-13 17:52:31 | INFO | Topic 'buzzline_json' already exists. Recreating fresh...
2025-09-13 17:52:31 | INFO | Requested deletion of topic 'buzzline_json'.
2025-09-13 17:52:31 | INFO | Topic 'buzzline_json' created successfully.
2025-09-13 17:52:31 | INFO | Kafka topic 'buzzline_json' is ready.
2025-09-13 17:52:31 | INFO | Starting message production to topic 'buzzline_json'...
2025-09-13 17:52:31 | INFO | Opening data file in read mode: C:/Users/USER/Documents/datastream-01/buzzline-03-hanson/data/buzz.json
2025-09-13 17:52:31 | INFO | Reading data from file: C:/Users/USER/Documents/datastream-01/buzzline-03-hanson/data/buzz.json
2025-09-13 17:52:31 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Eve', 'group': 'F', 'grade': '1st'}
2025-09-13 17:52:32 | INFO | Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Alice', 'group': 'A', 'grade': '6th'}
2025-09-13 17:52:33 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Charlie', 'group': 'C', 'grade': '7th'}
2025-09-13 17:52:34 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Alice', 'group': 'F', 'grade': '5th'}
2025-09-13 17:52:35 | INFO | Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Diana', 'group': 'C', 'grade': '1st'}
2025-09-13 17:52:36 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Alice', 'group': 'G', 'grade': '6th'}
2025-09-13 17:52:37 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world!', 'author': 'Diana', 'group': 'A', 'grade': '6th'}
2025-09-13 17:52:38 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve', 'group': 'F', 'grade': '2nd'}
2025-09-13 17:52:39 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Eve', 'group': 'F', 'grade': '7th'}
2025-09-13 17:52:40 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Alice', 'group': 'D', 'grade': '7th'}
2025-09-13 17:52:41 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Diana', 'group': 'E', 'grade': '3rd'}
2025-09-13 17:52:42 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Diana', 'group': 'B', 'grade': '6th'}
2025-09-13 17:52:43 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Charlie', 'group': 'A', 'grade': '1st'}
2025-09-13 17:52:44 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Bob', 'group': 'B', 'grade': '1st'}
